Company,Status,PDF_Report_DE,PDF_REPORT_EN,ZIP_REPORT_DE,ZIP_REPORT_EN,ESG,ESG EN,Notes
Oesterreichische Post AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/oesterreichische-post-ag-AT0000APOST4/company-profile/?c11403%5Bfile%5D=w-vv_OIcoBiPh2GEa6hnlw,https://www.wienerborse.at/aktien-prime-market/oesterreichische-post-ag-AT0000APOST4/unternehmensprofil/?c2093%5Bfile%5D=vBJfPiboU2odr8HV_JT88w,https://www.wienerborse.at/en/stock-prime-market/oesterreichische-post-ag-AT0000APOST4/company-profile/?c11403%5Bfile%5D=rHGCxpZGhcY7DaEePdqONA,https://assets.post.at/-/media/Dokumente/De/Investor-Relations/Geschaefts--und-Nachhaltigkeitsberichte/Oesterreichische-Post-Nachhaltigkeitsbericht-2023.pdf?rev=1cbbcc4e-d554-4620-87c0-22d8730197fb&_ga=2.255130700.559713677.1720448626-1892400620.1720448626&_gl=1*89nfqk*_gcl_au*NjI4NDMzNTQuMTcyMDQ0ODYyNg..*_ga*MTg5MjQwMDYyMC4xNzIwNDQ4NjI2*_ga_M3WMVH224H*MTcyMDQ0ODYyNi4xLjEuMTcyMDQ0ODYyNy41OS4wLjA.,https://assets.post.at/-/media/Dokumente/En/Investor-Relations/Geschaefts--und-Nachhaltigkeitsberichte/Austrian-Post-Sustainability-Report-2023.pdf,Standalone
OMV AG,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/omv-ag-AT0000743059/unternehmensprofil/?c2093%5Bfile%5D=kANXMqXVdjq5c8_vjAF-kg,https://www.wienerborse.at/en/stock-prime-market/omv-ag-AT0000743059/company-profile/?c11403%5Bfile%5D=bj7g1XRWUB_Pfda7EVepXA,https://www.omv.com/services/downloads/00/omv.com/1522251631115/omv-nachhaltigkeitsbericht-2023.pdf,https://www.omv.com/downloads/2024/11/e7bc7980-ebf2-881c-ca8c-db7897754d9c/omv-sustainability-report-2023.pdf,Standalone
Palfinger AG,Complete,https://www.wienerborse.at/aktien-prime-market/palfinger-ag-AT0000758305/unternehmensprofil/?c2093%5Bfile%5D=X50tv_BrRLsEtpQX5l3GKA,https://www.wienerborse.at/en/stock-prime-market/palfinger-ag-AT0000758305/company-profile/?c11403%5Bfile%5D=j0ODT4jiZtzk-xGcI3xJKA,https://www.wienerborse.at/aktien-prime-market/palfinger-ag-AT0000758305/unternehmensprofil/?c2093%5Bfile%5D=iFpblvKw1Sv9I23QUpVLMg,https://www.wienerborse.at/en/stock-prime-market/palfinger-ag-AT0000758305/company-profile/?c11403%5Bfile%5D=Yp19ujkTGHDmLyqU6CJeTA,https://assets.palfinger.com/importdata/corporate/sustainability/2024/Konsolidierte%20nichtfinanzielle%20Erkl%C3%A4rung%202023_DE.pdf,https://assets.palfinger.com/importdata/corporate/sustainability/2024/Konsolidierte%20nichtfinanzielle%20Erklärung%202023_EN.pdf,Standalone
PIERER Mobility AG,Complete,https://www.wienerborse.at/aktien-prime-market/pierer-mobility-ag-AT0000KTMI02/unternehmensprofil/?c2093%5Bfile%5D=rGgeAhLX0s6u13eiELvypw,https://www.wienerborse.at/en/stock-prime-market/pierer-mobility-ag-AT0000KTMI02/company-profile/?c11403%5Bfile%5D=wAb2ytvkQCkAFImIEUNz3w,https://www.wienerborse.at/aktien-prime-market/pierer-mobility-ag-AT0000KTMI02/unternehmensprofil/?c2093%5Bfile%5D=Uy5wjNXZefae91XtyKnJZg,https://www.wienerborse.at/en/stock-prime-market/pierer-mobility-ag-AT0000KTMI02/company-profile/?c11403%5Bfile%5D=QqjhlVOyCtALJFKNWR4uSg,https://reports.pierermobility.com/epaper/2024/epaper-nachhaltigkeit-de/index.html#4,https://www.pierermobility.com/api/assets/14991239,Standalone
POLYTEC Holding AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/polytec-holding-ag-AT0000A00XX9/company-profile/?c11403%5Bfile%5D=T4Cwy18-NoxQN4CniAlMww,https://www.wienerborse.at/aktien-prime-market/polytec-holding-ag-AT0000A00XX9/unternehmensprofil/?c2093%5Bfile%5D=cB-CNMDPQs7sHzhA6lu3FQ,,https://www.polytec-group.com/fileadmin/CORPORATE_WEBSITE/04_INVESTOR_RELATIONS/06_Publikationen/Berichte/Jahresfinanzberichte/2023/POLYTEC_GB23_de.pdf,https://www.polytec-group.com/fileadmin/CORPORATE_WEBSITE/04_INVESTOR_RELATIONS/06_Publikationen/Berichte/Jahresfinanzberichte/2023/POLYTEC_GB23_en.pdf,Integrated Report
PORR AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/porr-ag-AT0000609607/company-profile/?c11403%5Bfile%5D=YqHLxKfQuLlBmWFx5XXbEQ,https://www.wienerborse.at/aktien-prime-market/porr-ag-AT0000609607/unternehmensprofil/?c2093%5Bfile%5D=2kCbEK3x7WhulcSAQTcPiQ,,https://porr-group.com/fileadmin/s_porr-group/IR/Konzernberichte/2023/PORR_Geschaeftsbericht_2023_de_sec.pdf,https://porr-group.com/fileadmin/s_porr-group/IR/Konzernberichte/2023/PORR_Geschaeftsbericht_2023_en_sec.pdf,Integrated Report
Raiffeisen Bank Internat. AG,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/raiffeisen-bank-internat-ag-AT0000606306/unternehmensprofil/?c2093%5Bfile%5D=iSPb8YdSSM1Ihe2As3YTaA,https://www.wienerborse.at/en/stock-prime-market/raiffeisen-bank-internat-ag-AT0000606306/company-profile/?c11403%5Bfile%5D=uMNXrffSvoShstIAs4yScA,https://www.raiffeisen.at/resources/ooe/rlb/downloads/nachhaltigkeit/nachhaltigkeitsbericht-2023.pdf,https://www.rbinternational.com/content/dam/rbi/ho/home/sustainability-esg/governance/sustainability-reports/english/RBI%20Sustainability%20Report%202023.pdf.coredownload.pdf,Standalone
RHI Magnesita N.V.,NO_DE,,https://www.wienerborse.at/en/stock-prime-market/rhi-magnesita-nv-NL0012650360/company-profile/?c11403%5Bfile%5D=7HFOeDEAdG3bmGhfklFUOg,,https://www.wienerborse.at/en/stock-prime-market/rhi-magnesita-nv-NL0012650360/company-profile/?c11403%5Bfile%5D=q-I8ED_4uxgvqqPm4y-ojQ,,https://www.rhimagnesita.com/wp-content/uploads/2024/04/rhim-sustainability-report-2023-final-2.pdf,Standalone
Rosenbauer International AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/rosenbauer-international-ag-AT0000922554/company-profile/?c11403%5Bfile%5D=xwORRIW7VaC0PhyI_TkO9Q,https://www.wienerborse.at/aktien-prime-market/rosenbauer-international-ag-AT0000922554/unternehmensprofil/?c2093%5Bfile%5D=In5cdX1S9GaASAFqv1NRRg,,https://bericht.rosenbauer.com/2023/wp-content/uploads/RB_Nachhaltigkeitsbericht_2023.pdf,https://bericht.rosenbauer.com/2023/wp-content/uploads/RB_Sustainability_Report_2023.pdf,Standalone
S IMMO AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/s-immo-ag-AT0000652250/company-profile/?c11403%5Bfile%5D=ZbUQNnRbUtFu1EhjdkA2Qg,https://www.wienerborse.at/aktien-prime-market/s-immo-ag-AT0000652250/unternehmensprofil/?c2093%5Bfile%5D=N0uT4N0w1jwEiqiopnRm-Q,,https://www.simmoag.at/fileadmin/redakteur/Investor_Relations/Berichte/2023/S-IMMO-AG-Nichtfinanzieller-Bericht-2023.pdf,https://www.simmoag.at/fileadmin/redakteur/Investor_Relations/Berichte/2023/S-IMMO-AG-Non-financial-Report-2023.pdf,Standalone
SCHOELLER-BLECKMANN AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/schoeller-bleckmann-ag-AT0000946652/company-profile/?c11403%5Bfile%5D=fIX0Ltlvv0dlX-kXJ_gJng,https://www.wienerborse.at/aktien-prime-market/schoeller-bleckmann-ag-AT0000946652/unternehmensprofil/?c2093%5Bfile%5D=5Ku6mZ00SiEAMocBDZjR_Q,,https://www.sbo.at/cms/download.php?downloadId=1648&languageId=1,https://www.sbo.at/cms/download.php?downloadId=1647&languageId=2,Integrated Report
Semperit AG Holding,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/semperit-ag-holding-AT0000785555/company-profile/?c11403%5Bfile%5D=P2E4zlAJ_Xnq8_Ir_d9llA,https://www.wienerborse.at/aktien-prime-market/semperit-ag-holding-AT0000785555/unternehmensprofil/?c2093%5Bfile%5D=7FXKKsBoLZtcRlM-ciOOHg,,https://www.semperitgroup.com/fileadmin/user_upload/MediaLibrary/SemperitGroup/Company/Sustainability/Nachhaltigkeitsbericht/Semperit_SustainabilityReport_2023_DE.pdf,https://www.semperitgroup.com/fileadmin/user_upload/MediaLibrary/SemperitGroup/Company/Sustainability/Nachhaltigkeitsbericht/Semperit_Sustainability_Report_2023_EN.pdf,Standalone
STRABAG SE,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/strabag-se-AT000000STR1/unternehmensprofil/?c2093%5Bfile%5D=AjWqKyqCNWxLcuQSLk5hQA,https://www.wienerborse.at/en/stock-prime-market/strabag-se-AT000000STR1/company-profile/?c11403%5Bfile%5D=WXbicfr53VZFFMqrMzlXAw,https://www.strabag.com/databases/internet/_public/files.nsf/SearchView/B2FAE41C25A3CBF3C1258B0A001B37F6/$File/Gesch%C3%A4fts-%20und%20Nachhaltigkeitsbericht%202023.pdf?OpenElement,https://www.strabag.com/databases/internet/_public/files.nsf/SearchView/8CFD0595D9417F7AC1258B0A001B1977/$File/Annual%20and%20Sustainability%20Report%202023.pdf?OpenElement,Integrated Report
Telekom Austria AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/telekom-austria-ag-AT0000720008/company-profile/?c11403%5Bfile%5D=_NsuejRer8KrwGJ80glTXg,https://www.wienerborse.at/aktien-prime-market/telekom-austria-ag-AT0000720008/unternehmensprofil/?c2093%5Bfile%5D=bQ7oC2GzvjHaf6mC-xv7dg,https://www.wienerborse.at/en/stock-prime-market/telekom-austria-ag-AT0000720008/company-profile/?c11403%5Bfile%5D=KTRKftX487CP_98KVgiQtw,https://a1.group/wp-content/uploads/sites/6/2024/03/A1_Group_NFB_2023.pdf,https://a1.group/wp-content/uploads/sites/6/2024/12/A1_Group_NFR_2023.pdf,Standalone
UBM Development AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/ubm-development-ag-AT0000815402/company-profile/?c11403%5Bfile%5D=AfqxZR6_Vz6rZ-QlRcFqlg,https://www.wienerborse.at/aktien-prime-market/ubm-development-ag-AT0000815402/unternehmensprofil/?c2093%5Bfile%5D=MIwew5RaA65vwPRsZ10XIg,,,https://www.ubm-development.com/wp-content/uploads/2024/04/ubm-nachhaltigkeitsbericht-2023_en_sec.pdf,Standalone
UNIQA Insurance Group AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/uniqa-insurance-group-ag-AT0000821103/company-profile/?c11403%5Bfile%5D=F5pUPxG8sssk_JMJw7lrNA,https://www.wienerborse.at/aktien-prime-market/uniqa-insurance-group-ag-AT0000821103/unternehmensprofil/?c2093%5Bfile%5D=K1GU5677GVoYbakaDCqJIg,,https://www.uniqagroup.com/grp/investor-relations/publications/UNIQA_Nichtfinanzieller_Bericht_2023_DE.pdf,https://www.uniqagroup.com/grp/investor-relations/publications/UNIQA_Non-Financial_Report_2023_EN.pdf,Standalone
VERBUND AG Kat. A,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/verbund-ag-kat-a-AT0000746409/unternehmensprofil/?c2093%5Bfile%5D=2vFPa2OK7ufoLQ2yDLGHow,https://www.wienerborse.at/en/stock-prime-market/verbund-ag-kat-a-AT0000746409/company-profile/?c11403%5Bfile%5D=baDpyF0erk1_gyx0QbMdLw,https://www.verbund.com/-/media/verbund/ueber-verbund/investor-relations/finanzpublikationen/de/2024/verbund-integrierter_geschaeftsbericht_2023_deutsch.ashx,https://www.verbund.com/-/media/verbund/ueber-verbund/investor-relations/finanzpublikationen/en/2024/verbund-integrated-annual-report-2023-englisch.ashx,Integrated Report
VIENNA INSURANCE GROUP AG,NO_PDFS,,,https://www.wienerborse.at/aktien-prime-market/vienna-insurance-group-ag-AT0000908504/unternehmensprofil/?c2093%5Bfile%5D=XdGoY7hB33ht4XRFuUHSYg,https://www.wienerborse.at/en/stock-prime-market/vienna-insurance-group-ag-AT0000908504/company-profile/?c11403%5Bfile%5D=KxSdQk-am2e9dY1gRYoDoA,https://group.vig/media/jqebv43k/2023-vig-nachhaltigkeitsbericht.pdf,https://reports.voestalpine.com/2024/cr-report/_assets/downloads/umwelt-va-crr24.pdf,Standalone
voestalpine AG,Complete,https://www.wienerborse.at/aktien-prime-market/voestalpine-ag-AT0000937503/unternehmensprofil/?c2093%5Bfile%5D=iHRA5ElmPevCcn6O6aLtUg,https://www.wienerborse.at/en/stock-prime-market/voestalpine-ag-AT0000937503/company-profile/?c11403%5Bfile%5D=_QgyA2FcOqk9HEjyjLX16A,https://www.wienerborse.at/aktien-prime-market/voestalpine-ag-AT0000937503/unternehmensprofil/?c2093%5Bfile%5D=YNM-lRIsQPitzXawiXfJ8g,,https://reports.voestalpine.com/2024/cr-bericht/_assets/downloads/entire-va-crb24.pdf,,
Warimpex Finanz- und Bet. AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/warimpex-finanz-und-bet-ag-AT0000827209/company-profile/?c11403%5Bfile%5D=VZJ8KHHaHVDRHEigiuP4FQ,https://www.wienerborse.at/aktien-prime-market/warimpex-finanz-und-bet-ag-AT0000827209/unternehmensprofil/?c2093%5Bfile%5D=J4kI_CRBJtcbEl2IVdC0Eg,,,,
Wienerberger AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/wienerberger-ag-AT0000831706/company-profile/?c11403%5Bfile%5D=yTY8hBgHSKfvSRoOXX20Ag,https://www.wienerborse.at/aktien-prime-market/wienerberger-ag-AT0000831706/unternehmensprofil/?c2093%5Bfile%5D=pSqtxYUXsvdFiGclaWL6mw,https://www.wienerborse.at/en/stock-prime-market/wienerberger-ag-AT0000831706/company-profile/?c11403%5Bfile%5D=RdY8p0ewQtZiNRPoE5qw3A,https://www.wienerberger.com/content/dam/corp/corporate-website/downloads/sustainability/2023/2023-wienerberger-Nachhaltigkeitsbericht.pdf,https://annualreport.wienerberger.com/2023/_assets/downloads/sst-sustainability-report-wb-ar23.pdf,Standalone
Zumtobel Group AG,NO_PDF_DE,,https://www.wienerborse.at/en/stock-prime-market/zumtobel-group-ag-AT0000837307/company-profile/?c11403%5Bfile%5D=PRZjCyQodIvbT9dd9IEhbw,https://www.wienerborse.at/aktien-prime-market/zumtobel-group-ag-AT0000837307/unternehmensprofil/?c2093%5Bfile%5D=4fkDTqrLRk_hAtvJoG8Zew,,https://z.lighting/documents/3078/Zumtobel_Group_-_Jahresfinanzbericht_2023-24.pdf,https://z.lighting/documents/3201/NHB_2023_24_EN_V2.pdf,Standalone